"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"626","Schmitter-Edgecombe, M; Parsey, CM","Schmitter-Edgecombe, Maureen; Parsey, Carolyn M.","Assessment of Functional Change and Cognitive Correlates in the Progression From Healthy Cognitive Aging to Dementia","NEUROPSYCHOLOGY","English","activities of daily living; dementia; executive functioning; memory; mild cognitive impairment","EVERYDAY ACTION IMPAIRMENT; ALZHEIMERS-DISEASE; OLDER-ADULTS; NATURALISTIC ASSESSMENT; INSTRUMENTAL ACTIVITIES; FINANCIAL ABILITIES; PERFORMANCE; INDIVIDUALS; DEFICITS; PREDICTION",20,0,22,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000109","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"628","Pell, MD; Monetta, L; Rothermich, K; Kotz, SA; Cheang, HS; McDonald, S","Pell, Marc D.; Monetta, Laura; Rothermich, Kathrin; Kotz, Sonja A.; Cheang, Henry S.; McDonald, Skye","Social Perception in Adults With Parkinson's Disease","NEUROPSYCHOLOGY","English","mentalizing; emotion processing; speech communication; executive functions; basal ganglia","WORKING-MEMORY CAPACITY; BASAL GANGLIA; MIND DEFICITS; COGNITIVE DYSFUNCTION; STORY COMPREHENSION; BRAIN-INJURY; EMOTION; SPEECH; TASKS; METAANALYSIS",7,2,27,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000090","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"629","Marneweck, M; Palermo, R; Hammond, G","Marneweck, Michelle; Palermo, Romina; Hammond, Geoff","Discrimination and Recognition of Facial Expressions of Emotion and Their Links With Voluntary Control of Facial Musculature in Parkinson's Disease","NEUROPSYCHOLOGY","English","Parkinson's disease; emotion perception; embodied simulation; facial expression; facial masking","MONTREAL COGNITIVE ASSESSMENT; IMPAIRED RECOGNITION; FACE RECOGNITION; RATING-SCALE; PERCEPTION; DEFICITS; MEMORY; RECOMMENDATIONS; PARTICIPANTS; METAANALYSIS",5,1,14,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000106","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"630","Rustamov, N; Rodriguez-Raecke, R; Timm, L; Agrawal, D; Dressler, D; Schrader, C; Tacik, P; Wegner, F; Dengler, R; Wittfoth, M; Kopp, B","Rustamov, Nabi; Rodriguez-Raecke, Rea; Timm, Lydia; Agrawal, Deepashri; Dressler, Dirk; Schrader, Christoph; Tacik, Pawel; Wegner, Florian; Dengler, Reinhard; Wittfoth, Matthias; Kopp, Bruno","Attention Shifting in Parkinson's Disease: An Analysis of Behavioral and Cortical Responses","NEUROPSYCHOLOGY","English","Parkinson's disease; attention; N2; P3; N-e/ERN","INDEPENDENT COMPONENT ANALYSIS; ERROR-RELATED NEGATIVITY; BASAL GANGLIA; COGNITIVE CONTROL; WORKING-MEMORY; CONFLICT ADAPTATION; PREFRONTAL CORTEX; ANTERIOR CINGULATE; ACTION SELECTION; FRONTAL-CORTEX",7,0,20,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000099","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"631","Clark, GM; Lum, JAG; Ullman, MT","Clark, Gillian M.; Lum, Jarrad A. G.; Ullman, Michael T.","A Meta-Analysis and Meta-regression of Serial Reaction Time Task Performance in Parkinson's Disease","NEUROPSYCHOLOGY","English","serial reaction time (RT); implicit learning; procedural learning; Parkinson's disease; meta-analysis","MEDIAL TEMPORAL-LOBE; MEMORY-SYSTEMS; BASAL GANGLIA; DECLARATIVE/PROCEDURAL MODEL; LEARNING DEFICIT; IMPLICIT MEMORY; WORKING-MEMORY; VERBAL VERSION; ASSOCIATIONS; CHILDREN",13,2,18,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000121","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"632","Smith, CN","Smith, Christine N.","Retrograde Memory for Public Events in Mild Cognitive Impairment and Its Relationship to Anterograde Memory and Neuroanatomy","NEUROPSYCHOLOGY","English","semantic memory; mild cognitive impairment; retrograde amnesia; anterograde amnesia","MEDIAL TEMPORAL-LOBE; EARLY ALZHEIMERS-DISEASE; SURFACE-BASED ANALYSIS; HUMAN CEREBRAL-CORTEX; AUTOBIOGRAPHICAL MEMORY; SEMANTIC MEMORY; AMNESIC PATIENTS; CORTICAL SIGNATURE; REMOTE MEMORY; OLD MEMORIES",3,0,4,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000117","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"633","Ober, BA; Shenaut, GK","Ober, Beth A.; Shenaut, Gregory K.","Repetition Priming of Words and Nonwords in Alzheimer's Disease and Normal Aging","NEUROPSYCHOLOGY","English","memory; implicit memory; lexical decision; reaction time (RT); nonword familiarity","IMPLICIT MEMORY; LEXICAL DECISION; NEIGHBORHOOD SIZE; SEMANTIC MEMORY; RECOGNITION; IDENTIFICATION; FREQUENCY; TASK; MODEL; TERM",1,2,14,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000112","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"634","Fernandez-Andujar, M; Doornink, F; Dacosta-Aguayo, R; Soriano-Raya, JJ; Miralbell, J; Bargallo, N; Lopez-Cancio, E; de la Ossa, NP; Gomis, M; Milln, M; Barrios, M; Caceres, C; Pera, G; Fores, R; Clemente, I; Davalos, A; Mataro, M","Fernandez-Andujar, Marina; Doornink, Fleur; Dacosta-Aguayo, Rosalia; Jose Soriano-Raya, Juan; Miralbell, Julia; Bargallo, Nuria; Lopez-Cancio, Elena; Perez de la Ossa, Natalia; Gomis, Meritxell; Milln, Monica; Barrios, Maite; Caceres, Cynthia; Pera, Guillem; Fores, Rosa; Clemente, Imma; Davalos, Antoni; Mataro, Maria","Remote Thalamic Microstructural Abnormalities Related to Cognitive Function in Ischemic Stroke Patients","NEUROPSYCHOLOGY","English","thalamus diffusivity; neuropsychology; stroke; diffusion tensor imaging","WHITE-MATTER ABNORMALITIES; CEREBRAL-ARTERY OCCLUSION; VERBAL FLUENCY; DIABETES-MELLITUS; BASAL GANGLIA; DIFFUSION CHANGES; HUMAN BRAIN; INFARCTION; CORTEX; CONNECTIONS",4,1,15,"AMER PSYCHOLOGICAL ASSOC",2014,"10.1037/neu0000087","Psychology, Clinical; Neurosciences; Psychology",FALSE,FALSE,"NEUROPSYCHOLOGY",3.269
"654","Ahmari, SE; Eich, T; Cebenoyan, D; Smith, EE; Simpson, HB","Ahmari, Susanne E.; Eich, Teal; Cebenoyan, Deniz; Smith, Edward E.; Simpson, H. Blair","Assessing neurocognitive function in psychiatric disorders: A roadmap for enhancing consensus","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Obsessive Compulsive Disorder (OCD); Ignore-Suppress; Working memory; Serotonin reuptake inhibitors (SRIs); Checking; Neurocognitive","OBSESSIVE-COMPULSIVE DISORDER; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; MAJOR DEPRESSIVE DISORDER; SPATIAL WORKING-MEMORY; STOP-SIGNAL TASK; RESPONSE-INHIBITION; DOUBLE DISSOCIATION; COGNITIVE DEFICITS; HOARDING DISORDER; NEURAL CIRCUITS",6,2,10,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2014,"10.1016/j.nlm.2014.06.011","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,FALSE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.652
"656","Gruene, TM; Lipps, J; Rey, CD; Bouck, A; Shansky, RM","Gruene, Tina M.; Lipps, Jennifer; Rey, Colin D.; Bouck, Anna; Shansky, Rebecca M.","Heat exposure in female rats elicits abnormal fear expression and cellular changes in prefrontal cortex and hippocampus","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Females; Fear conditioning; Extinction; Prefrontal cortex; Hippocampus; Dendritic spines","POSTTRAUMATIC-STRESS-DISORDER; RESTRAINT STRESS; CONDITIONED FEAR; EXTINCTION; ESTROGEN; AMYGDALA; WOMEN; VULNERABILITY; ACQUISITION; RETRIEVAL",5,0,5,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2014,"10.1016/j.nlm.2014.05.004","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,FALSE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.652
"660","Tedesco, V; Roquet, RF; DeMis, J; Chiamulera, C; Monfils, MH","Tedesco, Vincenzo; Roquet, Rheall F.; DeMis, John; Chiamulera, Cristiano; Monfils, Marie-H.","Extinction, applied after retrieval of auditory fear memory, selectively increases zinc-finger protein 268 and phosphorylated ribosomal protein. S6 expression in prefrontal cortex and lateral amygdala","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Fear conditioning; Retrieval; Extinction; Reconsolidation; rpS6P; Zif268; Prefrontal cortex; Amygdala","C-FOS EXPRESSION; ZIF268 EXPRESSION; AMPA RECEPTORS; RECONSOLIDATION; NEURONS; CONSOLIDATION; HIPPOCAMPUS; ACTIVATION; ERASURE; RELAPSE",15,1,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2014,"10.1016/j.nlm.2014.08.015","Behavioral Sciences; Neurosciences; Psychology; Psychology, Multidisciplinary",FALSE,FALSE,"NEUROBIOLOGY_OF_LEARNING_AND_MEMORY",3.652
"694","Kurumada, C; Brown, M; Bibyk, S; Pontillo, DF; Tanenhaus, MK","Kurumada, Chigusa; Brown, Meredith; Bibyk, Sarah; Pontillo, Daniel F.; Tanenhaus, Michael K.","Is it or isn't it: Listeners make rapid use of prosody to infer speaker meanings","COGNITION","English","Prosody; Contrastive accent; Pragmatic inference; Visual world eye-tracking","SYNTACTIC AMBIGUITY RESOLUTION; SPOKEN-LANGUAGE COMPREHENSION; TIME; DISCOURSE; PERCEPTION; INTONATION; HYPOTHESIS; PREDICTION; MOVEMENTS; ACCENTS",10,0,14,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.05.017","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"695","Walker, CM; Lombrozo, T; Legare, CH; Gopnik, A","Walker, Caren M.; Lombrozo, Tania; Legare, Cristine H.; Gopnik, Alison","Explaining prompts children to privilege inductively rich properties","COGNITION","English","Explanation; Causal reasoning; Category labels; Non-obvious properties; Inductive inference; Generalization","YOUNG-CHILDREN; EXPLANATION; KNOWLEDGE; CATEGORIES; INFANTS; SIMILARITY; PERCEPTION; INFERENCES; MECHANISM; DISCOVERY",22,1,5,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.008","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"696","Schilling, CJ; Storm, BC; Anderson, MC","Schilling, Christopher J.; Storm, Benjamin C.; Anderson, Michael C.","Examining the costs and benefits of inhibition in memory retrieval","COGNITION","English","Retrieval-induced forgetting; Inhibition; Interference; Stop-signal reaction time","LONG-TERM-MEMORY; EXECUTIVE DEFICIT HYPOTHESIS; RESPONSE-INHIBITION; PREFRONTAL CORTEX; NEURAL MECHANISMS; COGNITIVE CONTROL; ITEM RECOGNITION; EPISODIC MEMORY; INTERFERENCE; INFORMATION",15,2,31,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.003","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"697","Pylkkanen, L; Bemis, DK; Elorrieta, EB","Pylkkaenen, Liina; Bemis, Douglas K.; Elorrieta, Estibaliz Blanco","Building phrases in language production: An MEG study of simple composition","COGNITION","English","Language production; Magnetoencephalography; Anterior temporal lobe; Ventro-medial prefrontal cortex; Left inferior frontal gyrus; Minimal phrases","EVENT-RELATED FMRI; ANTERIOR TEMPORAL CORTEX; HUMAN BRAIN; SENTENCE PRODUCTION; PREFRONTAL CORTEX; BROCAS AREA; CORTICAL REPRESENTATION; SEMANTIC KNOWLEDGE; SPEECH PRODUCTION; WORKING-MEMORY",18,1,13,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.001","Psychology, Experimental",FALSE,TRUE,"COGNITION",3.479
"698","Liu, LQ; Kager, R","Liu, Liquan; Kager, Rene","Perception of tones by infants learning a non-tone language","COGNITION","English","Infant; Speech perception; Lexical tone; Perceptual rebound; Acoustic salience; Statistical learning","SPEECH-PERCEPTION; LEXICAL TONE; PHONETIC PERCEPTION; 1ST YEAR; DEVELOPMENTAL-CHANGES; MANDARIN CHINESE; VOWEL CONTRASTS; DISCRIMINATION; EXPERIENCE; ENGLISH",21,1,14,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.06.004","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"699","Baus, C; Sebanz, N; de la Fuente, V; Branzi, FM; Martin, CD; Costa, A","Baus, Cristina; Sebanz, Natalie; de la Fuente, Vania; Martina Branzi, Francesca; Martin, Clara D.; Costa, Albert","On predicting others' words: Electrophysiological evidence of prediction in speech production","COGNITION","English","Joint action; Speech production; Lexical frequency","LEXICAL ACCESS; LANGUAGE PRODUCTION; FREQUENCY; REPRESENTATION; TASK; COMPREHENSION; CONVERSATION; INFORMATION; RETRIEVAL; FRAMEWORK",8,2,24,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.006","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"700","Escudero, P; Williams, D","Escudero, Paola; Williams, Daniel","Distributional learning has immediate and long-lasting effects","COGNITION","English","Statistical learning; Distributional learning; Longitudinal development; Non-native sound discrimination","SPEECH-PERCEPTION; PHONEMES; VOWELS; ACQUISITION; INFANTS; DUTCH",10,0,8,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.002","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"701","Weinbach, N; Henik, A","Weinbach, Noam; Henik, Avishai","Alerting enhances attentional bias for salient stimuli: Evidence from a global/local processing task","COGNITION","English","Phasic arousal; Phasic alerting; Global/local processing; Saliency","POSTERIOR PARIETAL CORTEX; EXECUTIVE CONTROL; CONSCIOUS PERCEPTION; PHASIC ALERTNESS; LOCUS-COERULEUS; SIMON-TASK; SELECTION; NETWORKS; INFORMATION; ADVANTAGE",7,1,19,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.005","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"702","Hawthorne, K; Gerken, L","Hawthorne, Kara; Gerken, LouAnn","From pauses to clauses: Prosody facilitates learning of syntactic constituency","COGNITION","English","Prosody; Prosodic bootstrapping; Constituency; Syntax acquisition; Language acquisition","INFANTS; LANGUAGE; SPEECH; SEGMENTATION; ACQUISITION; PREFERENCE; KNOWLEDGE; PATTERNS; PHRASES; WORDS",6,1,20,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.013","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"703","Lench, HC; Smallman, R; Darbor, KE; Bench, SW","Lench, Heather C.; Smallman, Rachel; Darbor, Kathleen E.; Bench, Shane W.","Motivated perception of probabilistic information","COGNITION","English","Desirability bias; Automatic optimism; Risk judgments; Unrealistic optimism; Social judgments","PERSON-POSITIVITY BIAS; UNREALISTIC OPTIMISM; AUTOMATIC OPTIMISM; DECISION-MAKING; EVENT FREQUENCY; RISK PERCEPTION; SELF; HEALTH; CHOICE; PREDICTION",2,1,15,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.08.001","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"704","Vaidya, AR; Jin, CS; Fellows, LK","Vaidya, Avinash R.; Jin, Chenshuo; Fellows, Lesley K.","Eye spy: The predictive value of fixation patterns in detecting subtle and extreme emotions from faces","COGNITION","English","Emotion; Face perception; Expression; Modeling; Eye-tracking; Fixation","FACIAL EXPRESSIONS; AMYGDALA DAMAGE; RECOGNITION TASKS; ATTENTION; AUTISM; LANGUAGE; INFORMATION; PERCEPTION; MECHANISM; SELECTION",5,2,43,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.004","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"705","Mata, A; Schubert, AL; Ferreira, MB","Mata, Andre; Schubert, Anna-Lena; Ferreira, Mario B.","The role of language comprehension in reasoning: How ""good-enough"" representations induce biases","COGNITION","English","Reasoning; Intuition; Dual process; Bias; Conflict detection; Good-enough representations","INDIVIDUAL-DIFFERENCES; WORKING-MEMORY; INTUITIONS; CONFLICT",7,0,10,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.011","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"706","Pfister, R; Janczyk, M; Wirth, R; Dignath, D; Kunde, W","Pfister, Roland; Janczyk, Markus; Wirth, Robert; Dignath, David; Kunde, Wilfried","Thinking with portals: Revisiting kinematic cues to intention","COGNITION","English","Action effects; Intention in action; Movement trajectories; Sensory anticipations","RESPONSE-EFFECT COMPATIBILITY; END-STATE COMFORT; DISTRACTING STIMULUS; EFFECT ANTICIPATIONS; OBJECT MANIPULATION; IDEOMOTOR ACTION; JOINT ACTION; MOVEMENTS; SELECTION; TASK",16,0,6,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.012","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"707","Howard, LH; Carrazza, C; Woodward, AL","Howard, Lauren H.; Carrazza, Cristina; Woodward, Amanda L.","Neighborhood linguistic diversity predicts infants' social learning","COGNITION","English","Infant; Neighborhood diversity; Social learning; Imitation; Language","VOCABULARY DEVELOPMENT; LANGUAGE; SPEECH; CHILD; EXPERIENCE; MIND",10,1,14,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.08.002","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"708","Toelch, U; Jubera-Garcia, E; Kurth-Nelson, Z; Dolan, RJ","Toelch, Ulf; Jubera-Garcia, Esperanza; Kurth-Nelson, Zeb; Dolan, Raymond J.","Competition strength influences individual preferences in an auction game","COGNITION","English","Social information; All pay auction; Decision-making; Preference formation; Competition","COMMON-VALUE AUCTIONS; WINNERS CURSE; EXPERIENCED BIDDERS; DECISION-MAKING; VALUES; EVOLUTION; DESIGN; CHOICE",1,0,5,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.010","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"709","Gozli, DG; Moskowitz, JB; Pratt, J","Gozli, Davood G.; Moskowitz, Joshua B.; Pratt, Jay","Visual attention to features by associative learning","COGNITION","English","Visual attention; Feature-based attention; Associative learning; Episodic memory","MEDIAL TEMPORAL-LOBE; FEATURE BINDING; TOP-DOWN; SELECTIVE ATTENTION; TRANSIENT ATTENTION; EFFECT ANTICIPATION; CONTINGENT CAPTURE; FEATURE TARGETS; EVENT FILES; SEARCH",8,0,30,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.014","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"710","Nahmias, E; Shepard, J; Reuter, S","Nahmias, Eddy; Shepard, Jason; Reuter, Shane","It's OK if 'my brain made me do it': People's intuitions about free will and neuroscientific prediction","COGNITION","English","Free will; Responsibility; Agency; Neuroscience; Prediction","UNFREE",21,2,42,"ELSEVIER SCIENCE BV",2014,"10.1016/j.cognition.2014.07.009","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.479
"711","Brand, M; Schiebener, J; Pertl, MT; Delazer, M","Brand, Matthias; Schiebener, Johannes; Pertl, Marie-Theres; Delazer, Margarete","Know the risk, take the win: How executive functions and probability processing influence advantageous decision making under risk conditions","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Ratio processing; Decision making; Executive functions; Numerical abilities; Mental calculation","MILD COGNITIVE IMPAIRMENT; ALZHEIMERS-DISEASE; INDIVIDUAL-DIFFERENCES; PARKINSONS-DISEASE; EXPLICIT RULES; NUMERACY; AMBIGUITY; HEALTH; JUDGMENT; INTELLIGENCE",12,0,13,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.955783","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"712","Casnar, CL; Janke, KM; van der Fluit, F; Brei, NG; Klein-Tasman, BP","Casnar, Christy L.; Janke, Kelly M.; van der Fluit, Faye; Brei, Natalie G.; Klein-Tasman, Bonita P.","Relations between fine motor skill and parental report of attention in young children with neurofibromatosis type 1","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Attention; Fine motor skill; Neurofibromatosis type 1; Children; Preschoolers","DEFICIT-HYPERACTIVITY DISORDER; NEUROPSYCHOLOGICAL PROFILE; LEARNING-DISABILITIES; ACADEMIC-PERFORMANCE; BEHAVIORAL-PHENOTYPE; COGNITIVE DEFICITS; ADHD; COORDINATION; ADOLESCENTS; BOYS",1,0,4,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.957166","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"713","Luxton, J; Brinkman, TM; Kimberg, C; Robison, LL; Hudson, MM; Krull, KR","Luxton, Joshua; Brinkman, Tara M.; Kimberg, Cara; Robison, Leslie L.; Hudson, Melissa M.; Krull, Kevin R.","Utility of the N-back task in survivors of childhood acute lymphoblastic leukemia","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","N-back; Working memory; Childhood acute lymphoblastic leukemia","WORKING-MEMORY CAPACITY; TRAUMATIC BRAIN-INJURY; LONG-TERM SURVIVORS; NEUROCOGNITIVE DEVELOPMENT; CRANIAL IRRADIATION; SEX-DIFFERENCES; HIGH-RISK; CHILDREN; OUTCOMES; SCHIZOPHRENIA",4,0,5,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.957168","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"714","Alosco, ML; Spitznagel, MB; Cohen, R; Sweet, LH; Josephson, R; Hughes, J; Rosneck, J; Gunstad, J","Alosco, Michael L.; Spitznagel, Mary Beth; Cohen, Ronald; Sweet, Lawrence H.; Josephson, Richard; Hughes, Joel; Rosneck, Jim; Gunstad, John","Better adherence to treatment recommendations in heart failure predicts improved cognitive function at a one-year follow-up","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Heart failure; Treatment adherence; Longitudinal; Cognitive function","QUALITY-OF-LIFE; OLDER-ADULTS; ELDERLY-PATIENTS; DISEASE; ASSOCIATION; PERFORMANCE; IMPAIRMENT; MEDICATION; DEPRESSION; RISK",5,0,6,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.957167","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"715","Mondini, S; Arcara, G; Jarema, G","Mondini, Sara; Arcara, Giorgio; Jarema, Gonia","Semantic and syntactic processing of mass and count nouns: Data from dementia","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Semantic impairment; Mass/count nouns; Dementia of Alzheimer type; Noncountable nouns; Alzheimer disease; Syntactic impairment","ALZHEIMERS-DISEASE; MASS/COUNT DISTINCTION; COGNITIVE IMPAIRMENT; COMPREHENSION; INFORMATION; PRESERVATION; APHASIA; COMMON; WORDS; BRAIN",2,0,4,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.958437","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"716","Nenadovic, V; Stokic, M; Vukovic, M; Dokovic, S; Subotic, M","Nenadovic, Vanja; Stokic, Miodrag; Vukovic, Mile; Dokovic, Sanja; Subotic, Misko","Cognitive and electrophysiological characteristics of children with specific language impairment and subclinical epileptiform electroencephalogram","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Specific language impairment; Sharp and slow waves; Cognitive profile; Electroencephalogram; Brain rhythms","FRONTAL-LOBE; INFANT BRAIN; DEVELOPMENTAL DYSPHASIA; EEG; EPILEPSY; POWER; ABNORMALITIES; INTELLIGENCE; OSCILLATIONS; METAANALYSIS",1,0,7,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.958438","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"717","Casaletto, KB; Cattie, J; Franklin, DR; Moore, DJ; Woods, SP; Grant, I; Heaton, RK","Casaletto, Kaitlin B.; Cattie, Jordan; Franklin, Donald R.; Moore, David J.; Woods, Steven Paul; Grant, Igor; Heaton, Robert K.","The Wide Range Achievement Test-4 Reading subtest ""holds"" in HIV-infected individuals","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Assessment; Psychometrics; Word reading; Infectious diseases; Premorbid functioning","NEUROCOGNITIVE DISORDERS; PREMORBID INTELLIGENCE; CLINICAL RATINGS; PROGRESSION; IMPAIRMENT; MEMORY; IMPACT; IQ",5,0,0,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.960370","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"718","Cimadevilla, JM; Roldan, L; Paris, M; Arnedo, M; Roldan, S","Cimadevilla, Jose M.; Roldan, Lola; Paris, Maria; Arnedo, Marisa; Roldan, Susana","Spatial learning in a virtual reality-based task is altered in very preterm children","JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","English","Hippocampus; Child neuropsychology; Spatial memory; Spatial orientation; Development","WORKING-MEMORY DEFICITS; TEMPORAL-LOBE EPILEPSY; SCHOOL-AGED CHILDREN; LOW-BIRTH-WEIGHT; BEHAVIORAL OUTCOMES; NAVIGATIONAL SPACE; BORN PRETERM; BRAIN; INFANTS; TERM",3,2,10,"TAYLOR & FRANCIS INC",2014,"10.1080/13803395.2014.963520","Psychology, Clinical; Clinical Neurology; Psychology",FALSE,FALSE,"JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_NEUROPSYCHOLOGY",2.083
"719","Jones, JB; Mattes, RD","Jones, Joshua B.; Mattes, Richard D.","Effects of learning and food form on energy intake and appetitive responses","PHYSIOLOGY & BEHAVIOR","English","Beverages; Energy; Obesity; Intervention; Intake; Conditioning","BODY-WEIGHT; BEVERAGE CONSUMPTION; OBESE SUBJECTS; YOUNG-ADULTS; BITE SIZE; SATIETY; VISCOSITY; HUNGER; HUMANS; LIQUID",5,1,11,"PERGAMON-ELSEVIER SCIENCE LTD",2014,"10.1016/j.physbeh.2014.06.016","Psychology, Biological; Behavioral Sciences",FALSE,FALSE,"PHYSIOLOGY_AND_BEHAVIOR",2.976
