"","AU","AF","TI","SO","LA","DE","ID","Z9","U1","U2","PU","PY","DI","WC","ANIMAL","FMRI_AB","JOUR","IF"
"37","Nielsen, T; Powell, RA; Kuiken, D","Nielsen, Tore; Powell, Russell A.; Kuiken, Don","Nightmare frequency is related to a propensity for mirror behaviors","CONSCIOUSNESS AND COGNITION","English","Dreaming; Nightmares; Mirror behaviors; Mirror neurons; Empathy; Emotional resonance; Sex differences","DISSOCIATIVE IDENTITY DISORDER; SOCIOCOGNITIVE MODEL; EMOTIONAL CONTAGION; SLEEP DISTURBANCES; SUICIDAL IDEATION; SEX-DIFFERENCES; NEURON SYSTEM; POPULATION; SYMPTOMS; CONTEXT",2,0,18,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.012","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"38","Brewin, CR; Mersaditabari, N","Brewin, Chris R.; Mersaditabari, Niloufar","Experimentally-induced dissociation impairs visual memory","CONSCIOUSNESS AND COGNITION","English","Dissociation; Trauma; Visual memory; Attention","POSTTRAUMATIC-STRESS-DISORDER; WORKING-MEMORY; INDIVIDUAL-DIFFERENCES; STATES",11,1,11,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.07.007","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"39","Morewedge, CK; Chandler, JJ; Smith, R; Schwarz, N; Schooler, J","Morewedge, Carey K.; Chandler, Jesse J.; Smith, Robert; Schwarz, Norbert; Schooler, Jonathan","Lost in the crowd: Entitative group membership reduces mind attribution","CONSCIOUSNESS AND COGNITION","English","Mind perception; Attribution; Group membership; Entitativity; Similarity; Proximity; Person perception; Social cognition","PERSPECTIVE-TAKING; PERCEPTION; DEINDIVIDUATION; CONSEQUENCES; CATEGORIZATION; DEHUMANIZATION; INDIVIDUATION; ASSOCIATIONS; PSYCHOLOGY; MOTIVATION",6,3,23,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.002","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"40","Langdon, R; Finkbeiner, M; Connors, MH; Connaughton, E","Langdon, Robyn; Finkbeiner, Matthew; Connors, Michael H.; Connaughton, Emily","Masked and unmasked priming in schizophrenia","CONSCIOUSNESS AND COGNITION","English","Anterior cingulate cortex; Conflict processing; Psychosis; Priming; Schizophrenia","ANTERIOR CINGULATE CORTEX; COGNITIVE CONTROL; CONSCIOUS ACCESS; ERROR-DETECTION; WORKING-MEMORY; MODEL; PERFORMANCE; MECHANISMS; INHIBITION; DELUSIONS",1,3,8,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.07.009","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"41","Stumbrys, T; Erlacher, D; Schredl, M","Stumbrys, Tadas; Erlacher, Daniel; Schredl, Michael","Testing the involvement of the prefrontal cortex in lucid dreaming: A tDCS study","CONSCIOUSNESS AND COGNITION","English","Lucid dreaming; Dorsolateral prefrontal cortex; REM sleep; Transcranial direct current stimulation (tDCS)","DIRECT-CURRENT STIMULATION; TRANSCRANIAL DC STIMULATION; HUMAN MOTOR CORTEX; REM-SLEEP; MAGNETIC STIMULATION; DECISION-MAKING; WORKING-MEMORY; CONSCIOUSNESS; ACTIVATION; BRAIN",17,2,48,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.005","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"42","Shelton, JT; Cahill, MJ; Mullet, HG; Scullin, MK; Einstein, GO; McDaniel, MA","Shelton, Jill Talley; Cahill, Michael J.; Mullet, Hillary G.; Scullin, Michael K.; Einstein, Gilles O.; McDaniel, Mark A.","Resource depletion does not influence prospective memory in college students","CONSCIOUSNESS AND COGNITION","English","Prospective memory; Resource depletion; Self-control; Self-regulation; Delay interval; Executive control","SELF-REGULATORY STRENGTH; EVENT-BASED INTENTION; EGO-DEPLETION; RETRIEVAL-PROCESSES; MULTIPLE PROCESSES; CONTROL FAILURE; PERFORMANCE; TASK; INTERFERENCE; FATIGUE",2,1,13,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.008","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"43","Ainley, V; Maister, L; Brokfeld, J; Farmer, H; Tsakiris, M","Ainley, Vivien; Maister, Lara; Brokfeld, Jana; Farmer, Harry; Tsakiris, Manos","More of myself: Manipulating interoceptive awareness by heightened attention to bodily and narrative aspects of the self","CONSCIOUSNESS AND COGNITION","English","Interoception; Interoceptive awareness; Heartbeat perception; Bodily self; Narrative self; Self-focus; Perceptual accuracy hypothesis","HEART BEAT PERCEPTION; FOCUSED ATTENTION; PANIC DISORDER; CARDIAC PERCEPTION; RUBBER HAND; ANXIETY; DEPRESSION; ACCURACY; FEEL; SENSITIVITY",27,0,32,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.004","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"44","Parkinson, J; Haggard, P","Parkinson, Jim; Haggard, Patrick","Hedonic value of intentional action provides reinforcement for voluntary generation but not voluntary inhibition of action","CONSCIOUSNESS AND COGNITION","English","Intention; Volition; Inhibition; Reward; Hedonic value; Reinforcement; Free will; Action; Decision making","STOP-SIGNAL PARADIGM; SELF-CONTROL; DEPLETION; CORTEX; AREA",2,0,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.009","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"45","Molet, M; Macquet, B; Lefebvre, O; Williams, KD","Molet, Mikael; Macquet, Benjamin; Lefebvre, Olivier; Williams, Kipling D.","A focused attention intervention for coping with ostracism","CONSCIOUSNESS AND COGNITION","English","Focused attention; Ostracism; Recovery","SOCIAL EXCLUSION; MINDFULNESS; ACETAMINOPHEN; REJECTION; PAIN",8,0,22,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.010","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"46","Filevich, E; Vanneste, P; Brass, M; Fias, W; Haggard, P; Kuhn, S","Filevich, Elisa; Vanneste, Patricia; Brass, Marcel; Fias, Wim; Haggard, Patrick; Kuhn, Simone","Brain correlates of subjective freedom of choice","CONSCIOUSNESS AND COGNITION","English","Volition; Introspection; Free choice; fMRI","DORSOLATERAL PREFRONTAL CORTEX; FREE-WILL; RESPONSE SELECTION; WORKING-MEMORY; EXECUTIVE FUNCTIONS; MOVEMENTS; TASK; GENERATION; INTENTION; NETWORK",11,2,16,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.011","Psychology, Experimental",FALSE,TRUE,"CONSCIOUSNESS_AND_COGNITION",2.235
"47","Freeman, LP; Cox, RE; Barnier, AJ","Freeman, Luke P.; Cox, Rochelle E.; Barnier, Amanda J.","Transmitting delusional beliefs in a hypnotic model of folie a deux","CONSCIOUSNESS AND COGNITION","English","Folie a deux; Hypnosis; Delusion; Hypnotic analogue","MIRRORED-SELF MISIDENTIFICATION; POSTHYPNOTIC AMNESIA; HYPNOSIS; DISORDER; CONFABULATION; ASSOCIATION; PSYCHOSIS; ANALOG; REAL",2,0,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.07.011","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"48","Krans, J","Krans, Julie","The self and involuntary memory: Identifying with the victim increases memory accessibility for stressful events","CONSCIOUSNESS AND COGNITION","English","The self; Involuntary memory; Emotion regulation; PTSD","ANALOG TRAUMATIC INTRUSIONS; INFORMATION; INVENTORY; DISORDER; SYSTEM",4,0,17,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.006","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"49","Smith, CH; Oakley, DA; Morton, J","Smith, Caleb Henry; Oakley, David A.; Morton, John","Increased response time of primed associates following an ""episodic"" hypnotic amnesia suggestion: A case of unconscious volition","CONSCIOUSNESS AND COGNITION","English","Unconscious processing; Autobiographical memory; Free association; Amnesia; Hypnosis","POSTHYPNOTIC AMNESIA; SEMANTIC MEMORY; DISSOCIATION; COMPONENT; MODEL",2,0,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.003","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"50","Allen, AK; Wilkins, K; Gazzaley, A; Morsella, E","Allen, Allison K.; Wilkins, Kevin; Gazzaley, Adam; Morsella, Ezequiel","Conscious thoughts from reflex-like processes: A new experimental paradigm for consciousness research","CONSCIOUSNESS AND COGNITION","English","Consciousness; Ironic processing; Imagery; Unconscious processes; Implementation intentions; Action sets","COGNITIVE CONTROL; LEXICAL ACCESS; SPEECH PRODUCTION; MENTAL CONTROL; SUPPRESSION; MIND; CORTEX; NEUROSCIENCE; INHIBITION; PERCEPTION",10,0,11,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.007","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"51","Heinemann, A; Pfister, R; Janczyk, M","Heinemann, Alexander; Pfister, Roland; Janczyk, Markus","Manipulating number generation: Loud plus long = large?","CONSCIOUSNESS AND COGNITION","English","Free choices; Random number generation; ATOM; Number processing; Magnitude system; Decisions","FREE-CHOICE; MAGNITUDE; TIME; SPACE; REPRESENTATION; PERCEPTION; LINE",7,0,6,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.08.014","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"52","Gibbons, JA; Toscano, A; Kofron, S; Rothwell, C; Lee, SA; Ritchie, TD; Walker, WR","Gibbons, Jeffrey A.; Toscano, Angela; Kofron, Stephanie; Rothwell, Christine; Lee, Sherman A.; Ritchie, Timothy D.; Walker, W. Richard","The fading affect bias across alcohol consumption frequency for alcohol-related and non-alcohol-related events","CONSCIOUSNESS AND COGNITION","English","Autobiographical memory; Fading affect bias; Emotions; Alcohol; Coping","AUTOBIOGRAPHICAL MEMORY; COLLEGE-STUDENTS; SOCIAL DRINKERS; USE DISORDERS; DRINKING; EXPERIENCES; UNPLEASANT; PLEASANT; METACOGNITIONS; INTENSITY",8,1,10,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.004","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"53","Tajadura-Jimenez, A; Lorusso, L; Tsakiris, M","Tajadura-Jimenez, Ana; Lorusso, Ludovica; Tsakiris, Manos","Active and passive-touch during interpersonal multisensory stimulation change self-other boundaries","CONSCIOUSNESS AND COGNITION","English","Interpersonal multisensory stimulation; Face; Self-awareness; Self-recognition; Active-touch","SHARED MANIFOLD HYPOTHESIS; BODY-OWNERSHIP; RUBBER HAND; FACE RECOGNITION; ILLUSION; MIRROR; EXPERIENCE; PERCEPTION; EMPATHY; AGENCY",9,1,11,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.002","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"54","Saunders, J; Barawi, K; McHugh, L","Saunders, Jo; Barawi, Kali; McHugh, Louise","Mindfulness increases recall of self-threatening information","CONSCIOUSNESS AND COGNITION","English","Self-threatening information; Self; Mindfulness; Memory","ATTENTION AWARENESS SCALE; EXPERIENTIAL AVOIDANCE; COGNITIVE THERAPY; ANXIETY SENSITIVITY; DEPRESSION; VALIDATION; DEFINITION; ACCEPTANCE; MEMORIES; DISORDER",1,1,27,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.001","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"55","McCarthy, JD; Barnes, LN; Alvarez, BD; Caplovitz, GP","McCarthy, J. Daniel; Barnes, Lianne N.; Alvarez, Bryan D.; Caplovitz, Gideon Paul","Two plus blue equals green: Grapheme-color synesthesia allows cognitive access to numerical information via color","CONSCIOUSNESS AND COGNITION","English","Synesthesia; Mental arithmetic; Bidirectionality; Numerical cognition","SWITCH COSTS; SYNAESTHESIA; TASK; BIDIRECTIONALITY; MEMORY; VERIFICATION; SOMETIMES; COUNT",7,1,17,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.005","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"56","Fisk, GD; Haase, SJ","Fisk, Gary D.; Haase, Steven J.","Highly correlated stimuli do not necessarily facilitate the measurement of unconscious perception: Exclusion failure is hard to find in forced-choice tasks","CONSCIOUSNESS AND COGNITION","English","Unconscious perception; Subliminal perception; Process-Dissociation Procedure; Exclusion; Signal Detection Theory","CONSCIOUS IDENTIFICATION; DISSOCIATION; AWARENESS; DISCRIMINATION; MOTIVATION; THRESHOLD; BOUNDARY",1,0,3,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.006","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"57","Sidarus, N; Chambon, V; Haggard, P","Sidarus, Nura; Chambon, Valerian; Haggard, Patrick","Priming of actions increases sense of control over unexpected outcomes","CONSCIOUSNESS AND COGNITION","English","Agency; Action selection; Action priming; Outcome expectation","CUE INTEGRATION; AGENCY; AWARENESS; EXPERIENCE; SELF; INHIBITION; PERCEPTION; MODEL; WILL",13,0,19,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.008","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"58","Poerio, GL; Totterdell, P; Miles, E","Poerio, Giulia L.; Totterdell, Peter; Miles, Eleanor","Mind-wandering and negative mood: Does one thing really lead to another?","CONSCIOUSNESS AND COGNITION","English","Mind-wandering; Negative mood; Mental time travel; Current concerns; Experience sampling","MEMORY; THOUGHTS; ACCESSIBILITY; CONSEQUENCES; EXPERIENCE; RUMINATION; ATTENTION; POWER",41,2,36,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.012","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"59","Atas, A; Vermeiren, A; Cleeremans, A","Atas, Anne; Vermeiren, Astrid; Cleeremans, Axel","Repeating a strongly masked stimulus increases priming and awareness","CONSCIOUSNESS AND COGNITION","English","Repeated masking method; Awareness; Priming","INTEROCULAR SUPPRESSION; SUBJECTIVE MEASURES; CONSCIOUS ACCESS; VISUAL MASKING; PERCEPTION; MARKERS; PRIMES",14,0,19,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.011","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"60","Farrer, C; Valentin, G; Hupe, JM","Farrer, C.; Valentin, G.; Hupe, J. M.","The time windows of the sense of agency","CONSCIOUSNESS AND COGNITION","English","Sense of agency; Time window of integration; Contextual information; Prior information","INTENTIONAL BINDING; CUE INTEGRATION; SELF-AGENCY; EXPERIENCE; MOVEMENTS; RECOGNITION; INFORMATION; CONTIGUITY; PERCEPTION; AWARENESS",22,1,11,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.010","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"61","Shedden, JM; Milliken, B; Watter, S; Monteiro, S","Shedden, Judith M.; Milliken, Bruce; Watter, Scott; Monteiro, Sandra","Event-related potentials as brain correlates of item specific proportion congruent effects","CONSCIOUSNESS AND COGNITION","English","Attention; Event-related potentials; ERP; Item-specific proportion congruent; ISPC; Automatic control; Context effects; P1; Control processes","STROOP TASK; INTERFERENCE; SELECTIVITY; ADAPTATION; STRATEGIES; ATTENTION; LOCATION",10,1,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.10.002","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"62","Eustache, ML; Laisney, M; Juskenaite, A; Letortu, O; Platel, H; Eustache, F; Desgranges, B","Eustache, M. -L.; Laisney, M.; Juskenaite, A.; Letortu, O.; Platel, H.; Eustache, F.; Desgranges, B.","Sense of identity in advanced Alzheimer's dementia: A cognitive dissociation between sameness and selfhood?","CONSCIOUSNESS AND COGNITION","English","Self; Dementia; Sense of identity; Alzheimer's disease; Sameness; Selfhood","AUTOBIOGRAPHICAL MEMORY; KNOWLEDGE; DISEASE; CONSCIOUSNESS; PSYCHOLOGY; AWARENESS; HEALTH",10,3,17,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.009","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"63","Jonker, TR; Seli, P; Cheyne, JA; Smilek, D","Jonker, Tanya R.; Seli, Paul; Cheyne, James Allan; Smilek, Daniel","Performance reactivity in a continuous-performance task: Implications for understanding post-error behavior","CONSCIOUSNESS AND COGNITION","English","Error reactivity; Performance reactivity; Post-event behavior; Post-error behavior; Post-error accuracy","FAILURES",12,0,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.10.005","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"64","Hurlburt, RT; Heavey, CL; Kelsey, JM","Hurlburt, Russell T.; Heavey, Christopher L.; Kelsey, Jason M.","Toward a phenomenology of inner speaking","CONSCIOUSNESS AND COGNITION","English","Inner speaking; Inner speech; Descriptive Experience Sampling; Pristine inner experience; Phenomenology; Inner hearing; Unsymbolized thinking; Sensory awareness; Self talk","AUDITORY VERBAL HALLUCINATIONS; YOUNG-ADULTS; SELF-TALK; SPEECH; EXPERIENCE; AWARENESS; LINKS",23,0,19,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.10.003","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"65","Scoboria, A; Talarico, JM","Scoboria, Alan; Talarico, Jennifer M.","Indirect cueing elicits distinct types of autobiographical event representations","CONSCIOUSNESS AND COGNITION","English","Memory; Event; Autobiographical belief; Cueing; Nonbelieved memory","EPISODIC MEMORY; PHENOMENAL CHARACTERISTICS; NONBELIEVED MEMORIES; CHILDHOOD EVENTS; PLAUSIBILITY; BELIEFS; RECOLLECTION; EXPERIENCE; RECALL",14,0,7,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.09.007","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"66","Connors, MH; Barnier, AJ; Langdon, R; Cox, RE; Polito, V; Coltheart, M","Connors, Michael H.; Barnier, Amanda J.; Langdon, Robyn; Cox, Rochelle E.; Polito, Vince; Coltheart, Max","A laboratory analogue of mirrored-self misidentification delusion: The role of hypnosis, suggestion, and demand characteristics","CONSCIOUSNESS AND COGNITION","English","Delusion; Hypnosis; Instrumental hypnosis; Mirror sign; Mirrored-self misidentification; Misidentification delusion; Self-recognition; Visual self-recognition","SEX-CHANGE; RECOGNITION; DEMENTIA; PATIENT; REALITY; BELIEF",4,1,15,"ACADEMIC PRESS INC ELSEVIER SCIENCE",2013,"10.1016/j.concog.2013.10.006","Psychology, Experimental",FALSE,FALSE,"CONSCIOUSNESS_AND_COGNITION",2.235
"67","Gross, JJ; Halperin, E; Porat, R","Gross, James J.; Halperin, Eran; Porat, Roni","Emotion Regulation in Intractable Conflicts","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","emotion regulation; intractable conflicts; cognitive reappraisal","ANGER; CONSEQUENCES; FEAR",7,2,23,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413495871","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"68","Talmi, D","Talmi, Deborah","Enhanced Emotional Memory: Cognitive and Neural Mechanisms","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","memory; emotion; arousal; attention; semantic relatedness; organization; distinctiveness","INDUCED RETROGRADE-AMNESIA; SEMANTIC RELATEDNESS; VISUAL-ATTENTION; OVERT ATTENTION; AROUSAL; CONSOLIDATION; AMYGDALA; WORDS; BRAIN; EVENTS",35,2,34,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413498893","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"69","Alter, AL","Alter, Adam L.","The Benefits of Cognitive Disfluency","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","fluency; disfluency; metacognition; processing depth; judgment and decision-making","PERCEPTUAL FLUENCY; PROCESSING FLUENCY; DECISION-MAKING; MOSES ILLUSION; MIND; JUDGMENTS; PSYCHOLOGY; RETRIEVAL; REASON; MODEL",12,3,36,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413498894","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"70","Charles, ST; Luong, G","Charles, Susan T.; Luong, Gloria","Emotional Experience Across Adulthood: The Theoretical Model of Strength and Vulnerability Integration","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","aging; emotion regulation; emotional well-being; affective reactivity; stress reactivity","AGE-DIFFERENCES; NEGATIVE AFFECT; UNITED-STATES; OLDER-ADULTS; REACTIVITY; COMPLEXITY; DISEASE; STRESS; MEMORY; TIME",20,1,24,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413497013","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"71","Teper, R; Segal, ZV; Inzlicht, M","Teper, Rimma; Segal, Zindel V.; Inzlicht, Michael","Inside the Mindful Mind: How Mindfulness Enhances Emotion Regulation Through Improvements in Executive Control","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","mindfulness; executive control; self-control; emotion regulation; affect; emotion","DISPOSITIONAL MINDFULNESS; ANXIETY DISORDER; MEDITATION; ACCEPTANCE; BRAIN",92,7,102,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413495869","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"72","Orth, U; Robins, RW","Orth, Ulrich; Robins, Richard W.","Understanding the Link Between Low Self-Esteem and Depression","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","self-esteem; depression; vulnerability model; longitudinal","YOUNG ADULTHOOD; SYMPTOMS; LIFE; ADOLESCENCE; METAANALYSIS; PERSONALITY; DISTRESS; MODELS; 3-WAVE",47,3,69,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413492763","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"73","Joel, S; MacDonald, G; Plaks, JE","Joel, Samantha; MacDonald, Geoff; Plaks, Jason E.","Romantic Relationships Conceptualized as a Judgment and Decision-Making Domain","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","romantic relationships; judgment and decision making; close relationships; belonging","INVESTMENT MODEL; SEX-DIFFERENCES; BEHAVIOR; COHABITATION; COMMITMENT; ATTACHMENT; GO",5,1,27,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413498892","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"74","Zaki, J; Mitchell, JP","Zaki, Jamil; Mitchell, Jason P.","Intuitive Prosociality","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","prosociality; altruism; reward; intuition; control","DECISION-MAKING; PREFRONTAL CORTEX; COGNITIVE CONTROL; MEMORY-SYSTEMS; EVOLUTION; CONSTRAINTS; COMPETITION; MODULATION; ALTRUISM; BEHAVIOR",68,3,47,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413492764","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"75","Glass, AL; Sinha, N","Glass, Arnold L.; Sinha, Neha","Multiple-Choice Questioning Is an Efficient Instructional Methodology That May Be Widely Implemented in Academic Courses to Improve Exam Performance","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","testing effect; distributed study; long-term retention; instruction","LONG-TERM RETENTION; COLLEGE CLASSROOMS; CONSEQUENCES; TESTS",7,0,17,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413495870","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"76","Schueller, SM; Munoz, RF; Mohr, DC","Schueller, Stephen M.; Munoz, Ricardo F.; Mohr, David C.","Realizing the Potential of Behavioral Intervention Technologies","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","technology; intervention; development; dissemination","SMOKING-CESSATION; DEPRESSION; FIELD; WORLDWIDE; DESIGN; ONLINE; TRIAL",29,0,23,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413495872","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"77","McParland, JL; Eccleston, C","McParland, Joanna L.; Eccleston, Christopher","It's Not Fair: Social Justice Appraisals in the Context of Chronic Pain","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","English","perceived injustice; belief in a just world; chronic pain; responses to injustice","PERCEIVED INJUSTICE; WORLD; FORGIVENESS; BELIEFS; HEALTH; DISPARITIES; EXPERIENCE; DISABILITY; UNFAIRNESS; ANGER",9,0,25,"SAGE PUBLICATIONS INC",2013,"10.1177/0963721413496811","Psychology, Multidisciplinary",FALSE,FALSE,"CURRENT_DIRECTIONS_IN_PSYCHOLOGICAL_SCIENCE",4.824
"78","Maidment, DW; Macken, B; Jones, DM","Maidment, David W.; Macken, Bill; Jones, Dylan M.","Modalities of memory: Is reading lips like hearing voices?","COGNITION","English","Verbal short-term memory; Suffix effect; Recency effect; Speech perception; Lipreading","SHORT-TERM-MEMORY; PRECATEGORICAL ACOUSTIC STORAGE; IMMEDIATE SERIAL-RECALL; VERBAL WORKING-MEMORY; STIMULUS SUFFIX; AUDITORY-CORTEX; CHANGING-STATE; WORD-LENGTH; ARTICULATORY SUPPRESSION; PERCEPTUAL ORGANIZATION",7,0,11,"ELSEVIER SCIENCE BV",2013,"10.1016/j.cognition.2013.08.017","Psychology, Experimental",FALSE,FALSE,"COGNITION",3.634
